url;cian_id;price;total_meters;rooms_count;floor;floors_count;region;city;district;microdistrict;street;house_number;underground;residential_complex;address_raw;living_meters;kitchen_meters;ceiling_height;object_type;layout_type;bathroom_type;bathroom_count;window_view;finish_type;balcony_count;loggia_count;has_furniture;year_of_construction;house_material_type;floor_type;elevator_passenger;elevator_cargo;entrances_count;has_garbage_chute;has_ramp;has_concierge;parking_type;heating_type;is_emergency;jk_name;jk_class;jk_deadline;developer;cadastral_number;encumbrances;owners_count;title_raw;author;author_type;is_detail_parsed;price_per_sqm;has_balcony;has_elevator
https://vladivostok.cian.ru/sale/flat/326757412/;326757412;4500000;25.0;0;8.0;9.0;;;р-н Ленинский;;улица Адмирала Кузнецова;;;;Приморский край, Владивосток, р-н Ленинский, мкр. 64, 71, улица Адмирала Кузнецова, 59;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Студия, 25 м², 8/9 этаж;;;False;180000.0;;
https://vladivostok.cian.ru/sale/flat/326980018/;326980018;3100000;22.7;0;2.0;9.0;;;р-н Первореченский;;Снеговая улица;;;;Приморский край, Владивосток, р-н Первореченский, мкр. Снеговая, Снеговая улица, 125;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Студия, 22,7 м², 2/9 этаж;;;False;136563.88;;
https://vladivostok.cian.ru/sale/flat/327017383/;327017383;4674150;23.5;0;3.0;25.0;;;р-н Первореченский;;;;;Снежный парк;Приморский край, Владивосток, р-н Первореченский, мкр. Снеговая падь, Снежный парк ЖК;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Студия, 23,5 м², 3/25 этаж;;;False;198900.0;;
https://vladivostok.cian.ru/sale/flat/324514182/;324514182;3500000;18.3;0;4.0;9.0;;;р-н Первореченский;;Сельская улица;;;;Приморский край, Владивосток, р-н Первореченский, мкр. Баляева, Сельская улица, 12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Студия, 18,3 м², 4/9 этаж;;;False;191256.83;;
https://vladivostok.cian.ru/sale/flat/320884937/;320884937;5400000;28.0;0;8.0;24.0;;;р-н Ленинский;;Стрелковая улица;;;Atmosfera;Приморский край, Владивосток, р-н Ленинский, Стрелковая улица, 18к1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Студия, 28 м², 8/24 этаж;;;False;192857.14;;
https://vladivostok.cian.ru/sale/flat/317533996/;317533996;6746040;25.2;0;18.0;30.0;;;р-н Первомайский;;улица Борисенко;48к4;;Борисенко 48;Приморский край, Владивосток, р-н Первомайский, мкр. Борисенко, улица Борисенко, 48к4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Студия, 25,2 м², 18/30 этаж;;;False;267700.0;;
https://vladivostok.cian.ru/sale/flat/314827907/;314827907;7000000;25.4;0;12.0;24.0;;;р-н Ленинский;;Стрелковая улица;;;Atmosfera;Приморский край, Владивосток, р-н Ленинский, Стрелковая улица, 18к2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Студия, 25,4 м², 12/24 этаж;;;False;275590.55;;
https://vladivostok.cian.ru/sale/flat/315527084/;315527084;5700000;45.2;0;1.0;5.0;;;р-н Советский;;Магнитогорская улица;;;;Приморский край, Владивосток, р-н Советский, мкр. Вторая речка, Магнитогорская улица, 16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Студия, 45,2 м², 1/5 этаж;;;False;126106.19;;
https://vladivostok.cian.ru/sale/flat/316455327/;316455327;6434300;23.5;0;8.0;17.0;;;р-н Первомайский;;;5;;Босфорский парк;Приморский край, Владивосток, р-н Первомайский, мкр. Патрокл, Босфорский Парк ЖК, 5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Студия, 23,5 м², 8/17 этаж;;;False;273800.0;;
https://vladivostok.cian.ru/sale/flat/326613797/;326613797;4600000;24.3;0;6.0;9.0;;;р-н Ленинский;;улица Адмирала Юмашева;;;;Приморский край, Владивосток, р-н Ленинский, улица Адмирала Юмашева, 24А;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Студия, 24,3 м², 6/9 этаж;;;False;189300.41;;
